,manchete,f1,f2,f3,sent_manchete,pol_manchete,sent1,pol1,sent2,pol2,sent3,pol3,sent_geral,pol_geral
10,"CNI diz que economia poderá crescer 2,1% este ano","A Confederação Nacional da Indústria (CNI) elevou a projeção de crescimento da economia brasileira de 1,2% para 2,1% em 2023, impulsionada pelo desempenho recorde do agronegócio, que deve crescer 13,8%.","A entidade destaca que a recuperação econômica depende de reformas tributária e de juros, além de uma política industrial mais robusta, enquanto a inflação deve desacelerar para 4,9% e o desemprego cair para 8,3%.","Apesar das melhorias, a CNI mantém a previsão de déficit primário de 1,1% do PIB e projeta o dólar a R$ 4,90 ao final do ano, com o superávit da balança comercial aumentando para US$ 62,4 bilhões.",Felicidade,Positivo,Felicidade,Positivo,Felicidade,Positivo,Tristeza,Negativo,Felicidade,Positivo
11,"PIB dos EUA cai 0,9% no 2º tri e economia entra em recessão técnica","O Produto Interno Bruto dos Estados Unidos caiu 0,2% no segundo trimestre, marcando o segundo trimestre consecutivo de retração e configurando uma recessão técnica segundo a definição do governo.","A redução foi impulsionada pela queda nos estoques de negócios privados, investimentos em capital fixo e pelos efeitos de choques na cadeia de suprimentos, enquanto o consumo privado e as exportações apresentaram crescimento.","Apesar do cenário de risco, o mercado de trabalho permanece forte, com baixa taxa de desemprego, e o Federal Reserve elevou a taxa de juros em 0,75 ponto percentual, em meio à inflação recorde superior a 9%.",Medo,Negativo,Medo,Negativo,Medo,Negativo,Medo,Negativo,Medo,Negativo
12,Inflação do material escolar é o triplo do IPCA,"A inflação dos materiais escolares na educação infantil atingiu 30,1% em 2022, quase três vezes a inflação oficial de 10,38% registrada pelo IPCA no mesmo período.","Os preços de itens como massinha, giz de cera e caderno tiveram aumentos expressivos, impactando o orçamento das famílias, especialmente na fase inicial da educação.","Apesar do crescimento no número de pequenas papelarias impulsionado pela pandemia, especialistas acreditam que esse movimento deve diminuir devido às pressões inflacionárias que reduzem o consumo de materiais escolares.",Raiva,Negativo,Raiva,Negativo,Raiva,Negativo,Raiva,Negativo,Raiva,Negativo
13,Governo deverá fechar o ano com primeiro superávit primário desde 2013,"Pela primeira vez em nove anos, as contas públicas brasileiras deverão fechar 2022 com superávit primário de R$ 13,548 bilhões, devido à redução de despesas e ao aumento das projeções de receitas.","A melhora do resultado fiscal foi impulsionada por uma revisão positiva nas receitas, que tiveram um aumento de R$ 82,197 bilhões em relação ao relatório anterior, e uma redução de R$ 2,954 bilhões nas despesas primárias previstas.","Apesar do impacto de acordos e desonerações, a expectativa de superávit só não foi maior devido a esses fatores, refletindo uma melhora significativa na saúde fiscal do país.",Felicidade,Positivo,Felicidade,Positivo,Felicidade,Positivo,Felicidade,Positivo,Felicidade,Positivo
14,Alckmin alerta que juro real está subindo no Brasil com manutenção da Selic e desinflação,"Geraldo Alckmin destacou que o juro real no Brasil está em alta devido à manutenção da Selic em 13,75%, mesmo com a inflação em queda, e afirmou que essa situação prejudica a atividade econômica e o emprego.","Ele ressaltou que os juros futuros indicam tendência de queda e criticou o nível atual da taxa de juros, considerando-o preocupante.","O vice-presidente também mencionou o compromisso do presidente Lula em gerar emprego e aumentar a renda, sem comentar sobre a prorrogação da desoneração da folha de pagamentos.",Tristeza,Negativo,Tristeza,Negativo,Tristeza,Negativo,Tristeza,Negativo,Tristeza,Negativo
15,AliExpress recebe aval do governo para isenção de imposto em compras on-line de até US$ 50,"O governo federal anunciou que o grupo Alibaba, controlador da AliExpress, foi certificado no Programa Remessa Conforme, permitindo a isenção do imposto de importação para compras de até US$ 50.","A certificação, concedida de forma precária e com prazo indeterminado, torna a AliExpress a primeira gigante chinesa a participar do programa, criado para regular as compras importadas e evitar evasão fiscal.","Apesar da liberação, o governo mantém o caráter precário da certificação, e compras acima do limite ou realizadas por empresas que não cumprirem as obrigações continuam sujeitas à tributação.",Felicidade,Positivo,Felicidade,Positivo,Felicidade,Positivo,Felicidade,Positivo,Felicidade,Positivo
16,Inflação na União Europeia bate nova máxima recorde em março,"A inflação anual na zona do euro atingiu 7,5% em março, atingindo uma nova máxima recorde e agravando os desafios do Banco Central Europeu.","A alta dos preços foi impulsionada pela guerra na Ucrânia e sanções à Rússia, elevando os custos de energia, alimentos, serviços e bens duráveis, além de superar a meta de 2% do BCE.","A situação evidencia uma inflação generalizada, dificultando o controle da política monetária na região.",Medo,Negativo,Medo,Negativo,Medo,Negativo,Medo,Negativo,Medo,Negativo
17,Petrobras é responsável por 34% do total do preço da gasolina,"A participação da Petrobras no preço do litro da gasolina é de aproximadamente R$ 2,00, representando cerca de 34% do valor total, enquanto no diesel essa parcela é de 52% e no gás de cozinha de 48%.","Segundo o presidente da estatal, general Joaquim Silva e Luna, fatores como a crise da pandemia, baixa afluência hídrica e alta nas commodities impactam os preços, e a política de preços da Petrobras permanece inalterada, acompanhando a paridade internacional do petróleo.","A empresa contribui significativamente para a economia brasileira, tendo gerado R$ 20,4 bilhões em dividendos para a União entre 2019 e 2021 e estimando R$ 552 bilhões em tributos até o final de 2023.",Raiva,Negativo,Raiva,Negativo,Raiva,Negativo,Felicidade,Positivo,Raiva,Negativo
18,"'Meta zero, para mim, é programática, não precisa nem estar na lei', diz Haddad","O ministro da Fazenda, Fernando Haddad, afirmou que a meta de zerar o déficit primário é ""programática"" e pode ser perseguida sem necessidade de previsão legal.",Ele destacou a importância de responsabilidade fiscal e defendeu a implementação de reformas macro e microeconômicas para impulsionar o crescimento econômico do Brasil.,"Haddad também ressaltou que, se a medida provisória 1185 fosse aprovada, o país já teria atingido o déficit zero neste ano, e reforçou a confiança no potencial de crescimento do Brasil diante do cenário global favorável.",Medo,Negativo,Medo,Negativo,Felicidade,Positivo,Felicidade,Positivo,Medo,Negativo
19,Haddad diz não se ver candidato em 2026 e que Lula tem condições de chegar competitivo à reeleição,"O ministro da Fazenda, Fernando Haddad, afirmou que o presidente Lula tem condições de chegar competitivo às eleições de 2026, mesmo diante da escalada do dólar e dos juros futuros.","Ele comparou o cenário atual com crises passadas, como a de 2002, e destacou que o momento não é propício para previsões definitivas.","Haddad reforçou sua confiança na capacidade de Lula de disputar a eleição de forma competitiva, independentemente das dificuldades econômicas atuais.",Medo,Negativo,Medo,Negativo,Medo,Negativo,Medo,Negativo,Medo,Negativo
20,Governo encontra saída em projeto de lei do ICMS para reduzir gastos com piso da Saúde este ano,"O governo federal buscou uma estratégia para reduzir gastos com o piso da Saúde em 2023 por meio de um dispositivo no projeto de lei da compensação do ICMS, aprovado na Câmara.","A medida permite que os gastos mínimos com a área sejam menores do que o estimado, com base na Receita Corrente Líquida prevista na Lei Orçamentária de 2023, o que pode gerar uma economia de até R$ 18 bilhões.","Essa mudança foi adotada para evitar o impacto de aplicar os pisos constitucionais, que exigiriam destinação de 15% da RCL à Saúde, o que, segundo autoridades, poderia paralisar a máquina pública neste ano.",Medo,Negativo,Medo,Negativo,Raiva,Negativo,Raiva,Negativo,Raiva,Negativo
21,"Boletim Focus: mercado eleva projeção do PIB de 2024 pela 7ª semana consecutiva, para 1,89%",Os analistas de mercado consultados pelo Banco Central mantiveram a expectativa de estabilidade para a Selic em 9% até o final de 2024 pela 14ª semana consecutiva.,"As projeções para o PIB de 2024 subiram para 1,89%, enquanto as estimativas de inflação (IPCA) permaneceram em 3,75%, com pequenas variações nas medianas ao longo das últimas semanas.","As expectativas para o dólar também se mantiveram, com previsão de R$ 4,95 para o fim de 2024 e R$ 5,00 para 2025.",Felicidade,Positivo,Felicidade,Positivo,Felicidade,Positivo,Felicidade,Positivo,Felicidade,Negativo
